population,time,gini-mean,gini-variance
63.85,804.9,0.49978309494,3.044e-08
97.93,807.57,0.50440847244,3.044e-08
126.19,808.73,0.50656976687,3.0446e-08
160.01,810.66,0.49983054548,3.0436e-08
189.67,825.55,0.51514775825,3.0432e-08
220.84,812.82,0.50482846472,3.0444e-08
251.87,817.96,0.50783157018,3.0438e-08
283.4,810.31,0.50267469277,3.0442e-08
311.18,818.33,0.50645998655,3.0441e-08
343.17,819.94,0.5086113890899999,3.0442e-08
371.18,815.61,0.50754388081,3.0449000000000004e-08
401.99,819.99,0.50778536919,3.0445000000000006e-08
428.16,815.11,0.50602152273,3.0434e-08
457.64,819.93,0.5090115000200001,3.0447e-08
486.93,818.03,0.5075663317,3.0445000000000006e-08
515.98,821.29,0.50880776259,3.0438e-08
539.41,820.92,0.51048994026,3.0446e-08
571.11,823.27,0.5098031467399999,3.0452e-08
598.3,824.53,0.51242500751,3.0439e-08
