initial-population,population,time,gini-mean,gini-variance
100,52,624,0.405005308,3.04E-08
100,66,603,0.389159541,3.03E-08
100,71,728,0.431315774,3.04E-08
100,66,736,0.487950397,3.05E-08
100,57,827,0.566971361,3.05E-08
100,65,790,0.502758812,3.04E-08
100,62,710,0.482942078,3.04E-08
100,65,715,0.48533268,3.05E-08
100,58,971,0.513145,3.04E-08
100,63,704,0.443933412,3.03E-08
100,68,916,0.553367127,3.05E-08
100,56,649,0.381078053,3.05E-08
100,56,802,0.485789333,3.04E-08
100,65,867,0.505024215,3.04E-08
100,67,876,0.55296242,3.04E-08
100,60,814,0.508693625,3.04E-08
100,51,926,0.526793917,3.04E-08
100,68,879,0.53683896,3.05E-08
100,63,771,0.521860703,3.04E-08
100,64,836,0.555239536,3.04E-08
100,71,912,0.566216593,3.04E-08
100,67,726,0.465554889,3.04E-08
100,65,819,0.49364533,3.04E-08
100,58,754,0.419189967,3.05E-08
100,68,976,0.608262098,3.04E-08
100,58,855,0.572961436,3.04E-08
100,59,691,0.441943427,3.05E-08
100,58,849,0.502757848,3.04E-08
100,66,726,0.442944147,3.04E-08
100,73,993,0.606213067,3.05E-08
100,64,776,0.519620377,3.05E-08
100,51,662,0.434078199,3.04E-08
100,60,747,0.489280219,3.04E-08
100,72,751,0.500802322,3.04E-08
100,64,918,0.546186695,3.05E-08
100,70,728,0.452575416,3.04E-08
100,64,758,0.483127154,3.05E-08
100,58,849,0.530889248,3.05E-08
100,57,915,0.581852032,3.05E-08
100,60,950,0.563428132,3.05E-08
100,62,728,0.467468022,3.05E-08
100,69,623,0.405549864,3.05E-08
100,59,647,0.440127178,3.04E-08
100,66,806,0.481705928,3.04E-08
100,57,862,0.501305701,3.05E-08
100,65,832,0.519165161,3.05E-08
100,69,702,0.485161484,3.04E-08
100,71,880,0.516420006,3.05E-08
100,68,815,0.478083484,3.05E-08
100,71,856,0.529803412,3.05E-08
100,58,925,0.540875581,3.05E-08
100,60,810,0.4782009,3.05E-08
100,64,918,0.588882177,3.05E-08
100,56,831,0.53815504,3.04E-08
100,64,801,0.49500329,3.05E-08
100,68,824,0.521943774,3.05E-08
100,59,767,0.489664962,3.04E-08
100,69,903,0.566468453,3.04E-08
100,64,695,0.420202354,3.04E-08
100,60,768,0.469148746,3.05E-08
100,70,694,0.413578862,3.04E-08
100,53,894,0.553619568,3.04E-08
100,66,906,0.572897699,3.05E-08
100,68,748,0.472774504,3.04E-08
100,63,749,0.444365783,3.04E-08
100,65,626,0.446196919,3.05E-08
100,66,801,0.462755999,3.04E-08
100,63,877,0.538624598,3.04E-08
100,72,762,0.460586455,3.04E-08
100,67,788,0.52184447,3.04E-08
100,60,818,0.493420782,3.04E-08
100,72,760,0.470564978,3.04E-08
100,63,727,0.443686318,3.05E-08
100,62,897,0.532451452,3.04E-08
100,63,874,0.545249633,3.04E-08
100,68,938,0.582615293,3.05E-08
100,64,825,0.483210245,3.05E-08
100,75,726,0.450843918,3.05E-08
100,65,742,0.480787273,3.04E-08
100,66,882,0.517030988,3.04E-08
100,65,700,0.435377345,3.05E-08
100,73,745,0.473974329,3.04E-08
100,55,735,0.491989588,3.05E-08
100,69,701,0.432611541,3.04E-08
100,65,847,0.534156902,3.04E-08
100,68,807,0.496578315,3.04E-08
100,60,828,0.508518735,3.05E-08
100,60,855,0.548053629,3.04E-08
100,68,751,0.439219309,3.05E-08
100,63,892,0.56578623,3.04E-08
100,56,756,0.490763234,3.04E-08
100,62,723,0.487724458,3.03E-08
100,69,836,0.540757632,3.04E-08
100,63,964,0.53421152,3.05E-08
100,62,809,0.492050957,3.05E-08
100,71,744,0.486952318,3.05E-08
100,62,892,0.511649365,3.04E-08
100,63,876,0.532703565,3.05E-08
100,67,1000,0.60146723,3.05E-08
100,68,903,0.49563119,3.04E-08
150,90,829,0.52888681,3.05E-08
150,112,782,0.485509527,3.04E-08
150,97,757,0.45423275,3.04E-08
150,100,770,0.481561057,3.05E-08
150,84,654,0.443642801,3.04E-08
150,104,670,0.444274816,3.05E-08
150,102,793,0.516008253,3.04E-08
150,103,808,0.52226792,3.04E-08
150,94,768,0.480262339,3.04E-08
150,89,766,0.501564926,3.05E-08
150,94,840,0.525762699,3.04E-08
150,100,842,0.501730485,3.04E-08
150,97,678,0.451067903,3.04E-08
150,94,829,0.530034074,3.04E-08
150,102,845,0.555920617,3.05E-08
150,106,1000,0.584062224,3.04E-08
150,100,838,0.507407077,3.05E-08
150,99,861,0.523873104,3.05E-08
150,99,799,0.50186213,3.05E-08
150,96,877,0.565134797,3.04E-08
150,86,847,0.515205444,3.04E-08
150,94,877,0.537864024,3.04E-08
150,102,830,0.564070603,3.04E-08
150,94,822,0.515397624,3.05E-08
150,97,856,0.516561213,3.04E-08
150,97,792,0.510358338,3.05E-08
150,95,788,0.508719655,3.04E-08
150,94,794,0.486203246,3.04E-08
150,104,834,0.532344186,3.05E-08
150,94,805,0.514050143,3.04E-08
150,97,778,0.463112857,3.04E-08
150,98,664,0.447220848,3.05E-08
150,102,894,0.564295691,3.05E-08
150,91,805,0.479515101,3.04E-08
150,97,771,0.497530421,3.04E-08
150,97,780,0.481909224,3.04E-08
150,96,844,0.503390932,3.04E-08
150,99,842,0.497821669,3.05E-08
150,100,871,0.521865518,3.05E-08
150,95,832,0.515470021,3.04E-08
150,108,836,0.501690259,3.04E-08
150,96,764,0.488198793,3.04E-08
150,100,701,0.493896585,3.04E-08
150,104,686,0.442624443,3.04E-08
150,96,826,0.512961446,3.04E-08
150,101,862,0.552101921,3.04E-08
150,94,767,0.451301067,3.05E-08
150,97,787,0.512447474,3.05E-08
150,92,884,0.553389012,3.04E-08
150,95,934,0.557540986,3.05E-08
150,100,924,0.552569762,3.04E-08
150,101,867,0.553985213,3.04E-08
150,104,744,0.496813526,3.05E-08
150,95,856,0.533816644,3.04E-08
150,95,756,0.476813428,3.05E-08
150,106,793,0.510909295,3.04E-08
150,87,798,0.52295112,3.05E-08
150,101,868,0.521275684,3.04E-08
150,111,878,0.510725886,3.04E-08
150,99,738,0.453293962,3.04E-08
150,93,779,0.506974354,3.05E-08
150,94,846,0.527373121,3.05E-08
150,100,777,0.506956775,3.04E-08
150,98,775,0.461601162,3.05E-08
150,100,906,0.56585266,3.05E-08
150,103,850,0.521723172,3.05E-08
150,94,920,0.547987719,3.04E-08
150,97,749,0.46823838,3.04E-08
150,101,797,0.523216171,3.05E-08
150,98,831,0.511190544,3.05E-08
150,90,747,0.494048993,3.04E-08
150,95,790,0.472695249,3.04E-08
150,90,747,0.471790565,3.04E-08
150,98,751,0.48525942,3.04E-08
150,104,824,0.502317804,3.05E-08
150,100,772,0.495100778,3.04E-08
150,87,826,0.502967334,3.05E-08
150,110,791,0.442908284,3.04E-08
150,97,841,0.508229631,3.05E-08
150,95,698,0.431497216,3.04E-08
150,100,754,0.449406107,3.05E-08
150,99,778,0.499691673,3.05E-08
150,91,685,0.453632384,3.04E-08
150,100,774,0.514572224,3.05E-08
150,98,788,0.485969891,3.05E-08
150,101,803,0.498960833,3.04E-08
150,100,831,0.548005426,3.05E-08
150,95,698,0.453838992,3.04E-08
150,108,815,0.506148222,3.04E-08
150,104,786,0.466822907,3.05E-08
150,105,834,0.505358666,3.04E-08
150,91,796,0.499942924,3.04E-08
150,101,943,0.568745949,3.04E-08
150,94,856,0.530231925,3.04E-08
150,98,893,0.526252224,3.04E-08
150,104,779,0.49422565,3.05E-08
150,95,786,0.49588572,3.04E-08
150,96,866,0.527807229,3.05E-08
150,101,784,0.49736518,3.04E-08
150,95,890,0.492774213,3.05E-08
200,113,793,0.499203499,3.05E-08
200,125,764,0.483228899,3.04E-08
200,125,787,0.492736715,3.05E-08
200,120,817,0.512771417,3.04E-08
200,125,771,0.497732033,3.04E-08
200,129,782,0.499721113,3.05E-08
200,125,854,0.542501801,3.05E-08
200,128,700,0.458383918,3.05E-08
200,127,794,0.506333157,3.04E-08
200,120,795,0.517469261,3.05E-08
200,132,1017,0.597841658,3.05E-08
200,120,868,0.54372922,3.04E-08
200,137,949,0.544096338,3.04E-08
200,124,718,0.470283993,3.05E-08
200,135,950,0.56505934,3.04E-08
200,121,750,0.485325279,3.05E-08
200,133,817,0.514472858,3.05E-08
200,121,734,0.452254431,3.05E-08
200,125,915,0.548227293,3.04E-08
200,124,770,0.510855275,3.05E-08
200,134,887,0.531029375,3.05E-08
200,119,856,0.535058449,3.04E-08
200,124,823,0.532241036,3.05E-08
200,125,843,0.502784389,3.05E-08
200,137,669,0.437311391,3.04E-08
200,128,766,0.487978424,3.05E-08
200,123,945,0.581091276,3.05E-08
200,130,883,0.501687598,3.05E-08
200,125,849,0.524176627,3.05E-08
200,127,759,0.491727331,3.04E-08
200,123,916,0.55420888,3.05E-08
200,131,740,0.447658004,3.05E-08
200,120,871,0.520607193,3.04E-08
200,125,893,0.541470013,3.05E-08
200,125,793,0.515138416,3.04E-08
200,133,826,0.509133384,3.04E-08
200,134,867,0.52325183,3.04E-08
200,126,888,0.540067648,3.04E-08
200,132,755,0.516928674,3.04E-08
200,116,792,0.518529912,3.04E-08
200,121,685,0.428930831,3.04E-08
200,126,852,0.524842496,3.05E-08
200,124,758,0.510107694,3.05E-08
200,132,896,0.551779973,3.05E-08
200,125,808,0.480652839,3.05E-08
200,130,844,0.512401524,3.05E-08
200,134,767,0.479066202,3.04E-08
200,114,791,0.534477837,3.04E-08
200,133,874,0.520398875,3.04E-08
200,125,768,0.483191919,3.04E-08
200,132,865,0.564901483,3.04E-08
200,123,811,0.507281201,3.04E-08
200,127,838,0.510611731,3.04E-08
200,126,823,0.516356625,3.05E-08
200,126,769,0.473869492,3.04E-08
200,129,843,0.531642331,3.04E-08
200,136,723,0.479137503,3.04E-08
200,132,778,0.476528579,3.04E-08
200,129,800,0.494261802,3.04E-08
200,126,771,0.480498381,3.04E-08
200,117,813,0.482797521,3.05E-08
200,121,733,0.468069182,3.05E-08
200,131,808,0.507643839,3.04E-08
200,119,802,0.521405288,3.04E-08
200,121,794,0.505790152,3.04E-08
200,133,824,0.537707335,3.04E-08
200,121,770,0.473117674,3.05E-08
200,134,858,0.536896121,3.05E-08
200,131,782,0.491535404,3.04E-08
200,120,847,0.539002354,3.04E-08
200,136,816,0.509576592,3.05E-08
200,117,902,0.535324949,3.05E-08
200,138,782,0.514544264,3.04E-08
200,125,808,0.491977182,3.04E-08
200,122,872,0.545243521,3.04E-08
200,126,844,0.495106461,3.05E-08
200,131,770,0.49520522,3.04E-08
200,127,843,0.51601837,3.04E-08
200,129,720,0.464440593,3.04E-08
200,133,828,0.52086693,3.04E-08
200,126,897,0.513275388,3.05E-08
200,132,724,0.47890691,3.05E-08
200,130,806,0.51876268,3.04E-08
